Amostra,Potencia_Media_do_Vento_(MW),,,,Potencia_Media_Consumida_(MW),,,,Desvio_Padrao_Vento_(MW),,,FCSPV_(Fracao_de_Carga_Suprida_pela_Potencia_do_Vento),,,,,
712,8940.589583,,,,71793.89875,,,,1320.206523,,,0.124531328,,,,,
713,5483.85875,,,,71796.80833,,,,2441.350969,,,0.076380258,,,,,
714,3513.584583,,,,80755.70083,,,,889.0054038,,,0.043508812,,,,,
715,9015.37375,,,,83101.59,,,,737.3427633,,,0.108486176,,,,,
716,5691.07375,,,,80130.29708,,,,2595.287769,,,0.071022746,,,,,
717,1140.778333,,,,76566.12792,,,,767.4411382,,,0.014899256,,,,,
718,4724.054167,,,,73769.95208,,,,2456.991786,,,0.064037647,,,,,
719,8707.701667,,,,71670.68667,,,,368.5065832,,,0.121495999,,,,,
720,5424.675,,,,79525.06292,,,,2071.143628,,,0.068213401,,,,,
721,4420.79625,,,,87550.47375,,,,2681.197011,,,0.050494258,,,,,
722,7040.50375,,,,85277.42042,,,,2478.032328,,,0.082559999,,,,,
723,5893.495,,,,85071.78667,,,,696.905013,,,0.069276728,,,,,
724,4863.504583,,,,78881.16792,,,,939.3857622,,,0.061656092,,,,,
725,8268.9,,,,75505.21917,,,,900.4514882,,,0.109514284,,,,,
726,6578.595417,,,,75473.86708,,,,929.2338234,,,0.087163884,,,,,
727,6425.2825,,,,79505.69833,,,,1316.07451,,,0.080815371,,,,,
728,2752.880833,,,,88989.63667,,,,541.1641174,,,0.030934847,,,,,
729,2404.313333,,,,88331.48125,,,,295.6526212,,,0.027219212,,,,,
730,2299.033333,,,,83462.56708,,,,275.2912174,,,0.027545682,,,,,
731,640.5233333,,,,82637.75292,,,,406.3266274,,,0.007750977,,,,,
732,2313.29375,,,,84337.6525,,,,526.6125385,,,0.027428956,,,,,
733,6479.259167,,,,78963.39542,,,,1365.680679,,,0.082053958,,,,,
734,2258.7725,,,,75985.14708,,,,1360.18538,,,0.0297265,,,,,
735,3769.717083,,,,77352.1275,,,,2410.884958,,,0.048734498,,,,,
736,6178.622917,,,,78550.06542,,,,2399.669143,,,0.078658406,,,,,
737,9146.637917,,,,80786.37542,,,,3405.91478,,,0.113220056,,,,,
738,8345.191667,,,,78836.77958,,,,2672.478707,,,0.105854041,,,,,
739,8084.85375,,,,76487.29167,,,,1991.058431,,,0.105701922,,,,,
740,6135.088333,,,,67725.56583,,,,1062.929722,,,0.09058748,,,,,
741,4260.03125,,,,64534.88,,,,754.7212012,,,0.066011299,,,,,
742,1878.09875,,,,72025.48792,,,,1283.925649,,,0.026075474,,,,,
743,8507.990417,,,,74548.23625,,,,2454.280206,,,0.11412732,,,,,
744,9215.506667,,,,75451.68167,,,,937.6543595,,,0.122137856,,,,,
745,4033.78625,,,,79919.14167,,,,898.0970004,,,0.050473343,,,,,
746,3697.449167,,,,79771.8875,,,,426.8979667,,,0.046350278,,,,,
747,5955.379583,,,,72871.08375,,,,2320.355783,,,0.081724866,,,,,
748,10566.44708,,,,69577.08125,,,,668.237776,,,0.151866777,,,,,
749,10512.51625,,,,79507.25917,,,,334.1797746,,,0.132220836,,,,,
750,9947.162083,,,,84162.31583,,,,1076.239984,,,0.118190214,,,,,
751,3326.129583,,,,84872.52125,,,,798.1625982,,,0.039189711,,,,,
752,1580.812083,,,,81803.78958,,,,515.9804752,,,0.019324436,,,,,
753,8074.82,,,,80027.68375,,,,2709.51565,,,0.100900334,,,,,
754,4492.826667,,,,78120.03458,,,,1734.762706,,,0.057511837,,,,,
755,6243.495417,,,,76338.4525,,,,2716.457862,,,0.081787031,,,,,
756,2229.801667,,,,77823.46125,,,,775.0631717,,,0.02865205,,,,,
757,2840.153333,,,,77003.06417,,,,955.0659778,,,0.03688364,,,,,
758,3063.0425,,,,76369.96958,,,,2165.862427,,,0.040107944,,,,,
759,10949.5175,,,,76038.08917,,,,932.6447737,,,0.14400043,,,,,
760,11867.68875,,,,70890.15458,,,,603.9250502,,,0.167409548,,,,,
761,6313.94875,,,,64011.87125,,,,3585.40642,,,0.098637153,,,,,
762,1691.793333,,,,63678.9075,,,,807.0273972,,,0.026567562,,,,,
763,1081.26125,,,,72241.47042,,,,621.2055207,,,0.014967321,,,,,
764,3971.024583,,,,73898.64,,,,1012.978823,,,0.053736098,,,,,
765,7320.16375,,,,76775.68667,,,,835.6990326,,,0.095344816,,,,,
766,8423.9625,,,,77059.55583,,,,1816.55305,,,0.109317558,,,,,
767,3726.46625,,,,75538.32542,,,,1505.11065,,,0.049332127,,,,,
768,9259.810417,,,,68166.16833,,,,987.1450517,,,0.135841733,,,,,
769,9912.111667,,,,64293.0475,,,,1178.32309,,,0.154170817,,,,,
770,8174.575417,,,,71420.49,,,,1613.737073,,,0.114457005,,,,,
